Reprodução,Que fator mantém os anfíbios|presos ao ambiente aquático?,Reprodução,Alimentação,Temperatura,Eles gostam de brincar na água,imgs/Question1.png,
Girino,Como os sapos são chamados em sua fase larval?,Muda,Sapo Aquático,Girino,Jorge,imgs/Question2.png,
Aquático e Terrestre,Quais os dois ambientes em|que os anfíbios vivem sua vida dupla?,Terrestre e Aéreo,Aquático e Aéreo,Subsolo e Aquático,Aquático e Terrestre,imgs/Question3.png,
Pele,Por onde os anfíbios mais respiram?,Pulmões,Brânquias,Pele,Traqueia,imgs/Question4.png,
Carnívoros,Os anfíbios adultos são?,Carnívoros,Herbívoros,Onívoros,Insetívoros,imgs/Question5.png,
Anuros, Os Sapos Pertencem a que ordem de anfíbios,Urodelos,Ápodes,Anuros,Primata,imgs/Question6.png,
Cecília,É um exemplo de ápode:,Perereca,Cecília,Salamandra,Axolote,imgs/Question7.png,
Com patas e com cauda,O que caracteriza os urodelos,Sem patas e com cauda,Com patas e sem cauda,Sem cauda e sem patas,Com patas e com cauda,imgs/Question8.png,
Ausência de queratina,A que se deve a  da pele dos anfíbios?,Presença de queratina,Ausência de queratina,Presença de escamas,Ausência de umidade na pele,imgs/Question9.png,
Armazenar veneno,Para que servem as bolsas nas laterais dos sapos?,Armazenar veneno,Rituais de acasalamento,Armazenar comida,Guardar sua longa língua,imgs/Question10.png,
2 átrios e 1 ventrículo,Quantas cavidades há no coração dos anfíbios?,2 átrios e 2 ventrículos,1 átrio e 2 ventrículos,2 átrios e 1 ventrículo,1 átrio e 1 ventrículo,imgs/Question11.png,
Pecilotermia,Qual a característica compartilhada|entre peixes anfíbios e répteis?,Pele seca,Pecilotermia,Número de cavidades no coração,Homeotermia,imgs/Question12.png,
Cobra-cega,Qual dos animais abaixo é um anfíbio?,Jacaré,Cobra-cega,Cascavel,Tubarão,imgs/Question13.png,
Respiração cutânea,Quando Algumas pessoas maldosas jogam|sal em um anfíbio este pode acabar morrendo.|Qual a característica dos anfíbios responsável por isso?,Fecundação externa,Respiração cutânea,Presença de pálpebras,Ovo sem casca,imgs/Question14.png,
Evitar desidratação,Em locais desérticos os anfíbios tendem a se enterrar.|Com que intuito eles fazem isso?,Esconder-se de predadores,Querem virar minhocas,Evitar desidratação,Dormir,imgs/Question15.png
